Otic enhancers,,,,,,Nearest gene associated to,,,,,RNA seq expression data,,,,,,,,,,,Significant TFBS identified by RSAT
Enhancer ID,Chr,Start,End,width,Strand details,Gene name,Ensembl gene id,Gene locus,location of enhancer to gene associated,Distrance to gene associated,NP_FPKM,aPPR_FPKM,pPPR_FPKM,NNE_FPKM,APD_FPKM,IPD_FPKM,ss56_OEDP_FPKM,ss89_otic_FPKM,ss12_otic_FPKM,ss3_whole embryo_FPKM,foldchange ss89/ss3,TFBS found
23065,5,12539127,12539314,188,+,PHLDA2,ENSGALG00000006447,5:12527763-12529316,downstream,11363,5.45125,5.54914,9.91619,16.9617,16.5782,27.5603,159.698,151.664,78.0917,17.6673,8.584446973,"Six1_optimised, TEAD1, SALL1, Foxk1, Nkx2-5"
8612a,14,3212162,3212643,482,+,LFNG,ENSGALG00000004284,14:3222764-3232769,upstream,-10603,70.0122,24.8887,37.5633,9.93508,51.1057,80.906,145.534,140.977,102.478,65.7119,2.145380061,"Six1, RoRalpha, Six1_optimised, EBF, Ikaros, Sox6, HIF1, HIF1, CREB_ATF, RBP-Jkappa, Sox3, Sox6, GATA3.1"
31269,Z,62850893,62851360,468,+,TMEM167A,ENSGALG00000027332,Z:62793305-62814861,downstream,57587,54.7407,60.9422,66.3621,61.566,51.1824,54.3871,96.5532,115.781,98.8652,53.0248,2.183525445,"Six4, Pitx1, CHX10_vsx2_, Hoxa2, Six1_optimised, Foxk1, Hoxa2, Hoxa1, Lhx4, CHX10_vsx2_, Hlxb9, AR, Hoxa1, Gbx2, Six1, RoRalpha, Dmbx1, Dmbx1, Ar, Klf7"
15519,27,4791353,4791540,188,-,ZNF385C,ENSGALG00000003403,27:4763259-4797776,inside,6423,5.15132,14.5709,16.9302,3.76692,48.1606,58.7601,117.184,105.029,110.605,7.72758,13.59144778,"Six1_optimised, Six1, Irf6, Irf6, Sox6"
16966a,3,41302273,41303420,1148,+,FRMD1,ENSGALG00000011296,3:41319932-41347556,upstream,-17660,30.5536,92.3229,73.3907,317.221,216.175,184.954,91.4257,94.7061,104.151,34.0183,2.783975096,"CREB.2, TEAD1, TEAD1, PPARG, PPARG, PLZF, Six1_optimised, PPARG, PPARG, CREB_ATF, Lhx5, Lmx1a, Pou2f1, Pou2f1, Sox30, Lmx1b, Sox13, Sox5, Lmx1b, Gata3.2, Otx2, Otx2, Lmx1a, Pitx2, Pax6.1, Sox8, Pou2f1, Pou2f1, Gata3.2, Hoxc9, Foxk1, Hmbox1, Six1_optimised, SALL1, Pitx2, Pax-2, Pou2f1, Pou2f1, Lhx9, Tcf1, Gbx1, Pitx1, Gata5, SALL1, PLZF, Sox2"
4605,1,151798917,151799749,833,+,SPRY2,ENSGALG00000016906,1:151896141-151897919,upstream,-97225,3.96296,5.38165,9.23147,2.89084,3.03097,6.74466,78.966,84.8953,57.5639,33.7118,2.518266601,"Hbp1, Sox3, Bbx, Sox3, Irx2, RoRalpha, Irx2, Irx5, Sox30, Bbx, Irx5, Sox6, Irx4, Ets, Sox6, Irx4, Six1_optimised, Sox5, AR, Sox6, Hbp1, NFKB1, NFKB1, Sox13, RBP-Jkappa, RREB1, DMRT3, RREB1, Sox8, Gata3.2, Hoxc9, Hbp1, Sox30, Foxk1, CHX10_vsx2_, FOXO3, Klf7, Ikaros, ESR2, Irf6, Irf6"
4608a,1,151889610,151890947,1338,+,SPRY2,ENSGALG00000016906,1:151896141-151897919,upstream,-6532,3.96296,5.38165,9.23147,2.89084,3.03097,6.74466,78.966,84.8953,57.5639,33.7118,2.518266601,"Hdx, Irx4, Pax6.2, Foxk1, Irx5, Max, Irx2, Irx4, Ikaros, RXRA, PLAG1, Prrx1, Hmbox1, WT1, RBP-Jkappa, Irx4, Irx2, Hoxc9, RREB1, Ikaros, Bbx, Zic3, TFAP2A, WT1, HIF1, HIF1, Mafb, Irx5, Mrg1, TFAP2A, TFAP2A, Tcf1, Tcf1, Irx5, Six1, Sox3, Zic3, Zic3, HIF1, HIF1, Zic3, Pax-2, Gata3.2, Lhx9, Mafb, Etv5, Nkx2-5, Emx2, Ikaros, AhR, AhR, Ar, Pax2, RREB1, SALL1, FOXO3, Hmx3, Ets, ESR2, AhR, Zic3, Hlxb9, Ikaros"
20334,4,29424023,29424953,931,+,ZNF330,ENSGALG00000009868,4:29387910-29395648,downstream,36112,37.7193,34.1301,35.1031,30.2405,39.7623,36.1497,51.269,84.315,68.529,36.2718,2.324533108,"Sox5, Sox13, AR, Sox8, Bach2, Sox30, Osf2, SALL1, Osf2, AP1.2, Foxk1, Foxk1, AP1.1, NR3C1, Irx2, Mtf1, Sox8, Tcf1, DMRT3, Six1, FOXO3, Mafb, Irf6, Irf6, NR3C1, Bbx"
20335,4,29425141,29425319,179,+,ZNF330,ENSGALG00000009868,4:29387910-29395648,downstream,37230,37.7193,34.1301,35.1031,30.2405,39.7623,36.1497,51.269,84.315,68.529,36.2718,2.324533108,"Six4, Sox2, Six1, Sox3"
7162a,11,18319234,18320757,1524,+,CDH1,ENSGALG00000000608,11:18317571-18326276,inside,1662,20.5922,42.5708,48.3925,67.513,42.2635,42.3057,79.1223,74.765,78.8765,23.2114,3.221046555,"CREB.2, CREB_ATF, CREB_ATF, Ar, Tcfap2c, Tcfap2c, ESR2, Klf7, Sox3, Ar, WT1, REST, Znf143, CREB.2, Bach2, RREB1, Tcfap2e, Pax2, Mtf1, AP1.2, WT1, PLAG1, Zic3, Ikaros, Tcfap2c, Tcfap2c, Tax_CREB.1, Tax_CREB.2, REST, REST, Znf143, Tcfap2e, AR, Six1_optimised, Zic3, Ar, WT1, WT1, WT1, HIF1, HIF1, EBF1, Zic3, TFAP2A, EBF, Klf7, REST, Zic3, Pax2, Tcfap2e, ESR2, WT1, NFKB1, NFKB1, RFX, ESR2, EBF1"
10780,2,22241491,22241879,389,+,FZD1,ENSGALG00000009064,2:22261020-22263332,upstream,-19530,45.3155,41.5262,34.7445,53.195,52.3196,38.8954,29.4056,71.3841,103.721,28.4166,2.512056333,"Six1_optimised, Rfx3, Sox5, Sox13, STAT1, Ets, Pitx2, Sox30, Rfx3, Etv5, Sox8, Tcf1, Sox6"
10785,2,22353724,22354802,1079,+,FZD1,ENSGALG00000009064,2:22261020-22263332,downstream,92703,45.3155,41.5262,34.7445,53.195,52.3196,38.8954,29.4056,71.3841,103.721,28.4166,2.512056333,"Bbx, Hoxc9, SALL1, Irf6, Irf6, DMRT3, RBP-Jkappa, DMRT3, Foxk1, AR, Lhx5, Etv6, Six1_optimised, Mrg1, Lhx4, Foxk1, Hdx, Etv4, Ehf, Bbx, Lmx1a, Etv5, Hoxa2, Hmbox1, Gata5, Sox3, Etv1"
29751a,Z,7794309,7795532,1224,-,ENSGALG00000005839,ENSGALG00000005839,Z:7784789-7796943,inside,2634,6.2507,16.3574,23.7101,36.1371,52.1287,61.5171,118.673,66.6236,52.5908,13.6845,4.868544704,"PPARG, PPARG, ESR2, ESR2, Six1_optimised, Klf7, RUNX1, Otx2, Otx2, Pitx2, Pax-2, Osf2, Osf2, Pbx, Dmbx1, Dmbx1, RXRA, RUNX1, Zic3, Pax-2, Tcfap2c, Tcfap2c, TFAP2A, Tcfap2e, Pbx, Sox6, TFAP2A, Pitx1, PR, Tcfap2e, TFAP2A, TFAP2A, REST, Tcfap2c, Tcfap2c, REST, FOXO3, Ets, WT1, Klf7, CREB_ATF, Tcfcp2l1, Pitx1, Tcfap2b, Tcfap2b, Ikaros, Max, Klf7"
9787a,19,1433795,1434142,348,-,AUTS2,ENSGALG00000001153,19:1349135-1372581,upstream,-61214,33.5489,21.6757,30.5798,7.458,46.215,67.9734,66.9476,66.2558,111.965,23.09,2.86945864,"Six1, Hmx1, Hmx3, FOXO3, Hoxc9, Sox13, Sox6, Ehf, Etv6, Sox8"
10966,2,26811417,26811752,336,-,VWDE,ENSGALG00000010724,2:26768205-26772919,upstream,-38498,2.8935,37.9029,53.3008,37.276,237.028,216.889,147.637,66.15,37.2076,11.1861,5.913589187,"PLZF, Lhx4, Foxk1, Six1, Sox6, Sox3, Lmx1a, Hbp1, Sox5, Pbx, Sox30, Lmx1b, FOXO3, Pitx2, Lmx1b, Foxk1, Otx2, Otx2, Sox2"
15350,24,4523705,4524013,309,-,ZBTB16,ENSGALG00000007011,24:4392699-4567637,inside,11143,3.88147,3.56303,3.60208,1.3478,17.1267,14.2427,34.6367,65.9318,76.7427,4.74588,13.8924288,"Gbx2, Hlxb9, Prrx1, CHX10_vsx2_, Ikaros, CHX10_vsx2_, Alx4, Alx4, Pou2f1, Pou2f1, Pax7, Rfx3, Prrx1, SALL1, Esrrb, Gbx2, Hlxb9, Lhx9, Six1, GATA3.1, Etv1, Emx2, Hoxc9, Pax7"
9501,17,8677913,8678271,359,+,ENSGALG00000023464,ENSGALG00000023464,17:8688933-8691350,upstream,-11021,15.6483,12.0052,13.3395,7.64163,29.5595,21.7704,55.0864,62.371,86.6394,26.6139,2.343549799,"Six1_optimised, Nkx2-5, RBP-Jkappa, STAT, Sox2, Ikaros"
29530,9,21751196,21751842,647,-,ENSGALG00000009579,ENSGALG00000009579,9:21734160-21771452,inside,20256,17.2315,15.3143,18.2139,16.1483,25.5633,21.3808,48.3581,61.3419,44.0031,24.1255,2.542616733,"PLZF, RREB1, RREB1, PLZF, Mybl1, Hmx3, RREB1, RBP-Jkappa, Ikaros, RREB1, RREB1, TFAP2A, TEAD1, RREB1, Six1, EBF, GLI, GLI, Lmx1a"
31044a,Z,55318431,55319605,1175,+,ZNF462,ENSGALG00000015451,Z:55321454-55373334,upstream,-3024,19.6628,27.7795,35.7005,14.4709,32.33,29.9307,36.2538,49.3821,58.9541,16.3916,3.012646721,"PLAG1, Six1_optimised, PLAG1, Nr2f2, Nr2f2, WT1, RREB1, Klf7, RREB1, HIF1, HIF1, WT1, WT1, Pax6.1, Klf7, WT1, Tcf7l2, Klf7, RREB1, Ikaros, Sox3, Tax_CREB.1, Tax_CREB.2, EBF, RREB1, Hoxa2, FOXO3, AP1.1, Mtf1, WT1, Znf143, HIF1, HIF1, PLAG1, PLAG1, PLAG1, CREB_ATF, Sox6, EBF1"
7431a,12,6553231,6554973,1743,-,WNK2,ENSGALG00000005210,12:6453844-6563101,inside,9870,10.4693,13.8732,17.0502,5.55962,18.8437,25.4213,39.3876,48.6641,43.6531,12.2555,3.970796785,"Otx2, Otx2, AP1.2, Pitx2, Bach2, Pitx2, Otx2, Otx2, AP1.1, Six4, RUNX1, Sox30, SALL1, RUNX1, Sox6, FOXP1, Lmx1b, AP1.1, Sox8, AP1.2, NR3C1, HIF1, HIF1, Dmbx1, Dmbx1, Lmx1a, Hoxa2, Hmx3, Hmx1, SALL1, Otx2, Otx2, Bbx, Hmx3, Nkx2-5, Nkx2-5, Lhx5, Pitx1, SALL1, Sox8, Dmbx1, Dmbx1, Lmx1b, Sox30, Hoxc9, RREB1, Bbx, Osf2, Sox5, RREB1, Dmbx1, Dmbx1, Pitx1, Zic3, TEAD1, Sox3, Pou2f1, Pou2f1, Znf143, Six1_optimised, PLZF, Zic3, Pou2f1, Pou2f1, Sox13, Pitx2, Lmx1a, Lhx5, Sox2, Sox2, Sox5, Foxk1, Lmx1a, Six1, REST, RREB1, RUNX1, SALL1, GLI, GLI, Otx2, Otx2, Sox13, Sox6"
7432a,12,6560300,6561565,1266,-,WNK2,ENSGALG00000005210,12:6453844-6563101,inside,2801,10.4693,13.8732,17.0502,5.55962,18.8437,25.4213,39.3876,48.6641,43.6531,12.2555,3.970796785,"Tcfap2c, Tcfap2c, Tcfap2e, TEAD1, FOXP1, WT1, FOXP1, Pbx, Ar, Tcfap2c, Tcfap2c, WT1, Ikaros, WT1, REST, RREB1, Tcfap2e, Osf2, TFAP2A, Pitx1, Tcfap2b, Tcfap2b, Rfx3, RREB1, Six1"
28647,9,1146809,1147070,262,-,HS6ST1,ENSGALG00000002155,9:1075333-1241140,inside,94331,25.51,46.1062,38.07,45.4541,30.2529,28.5061,23.8827,43.7576,53.8561,18.3943,2.378867367,"Sox3, Six1_optimised, Six1, Pax6.1, PLZF, RFX, PLZF, AhR, Ets"
28649,9,1192360,1192758,399,-,HS6ST1,ENSGALG00000002155,9:1075333-1241140,inside,48780,25.51,46.1062,38.07,45.4541,30.2529,28.5061,23.8827,43.7576,53.8561,18.3943,2.378867367,"Sox2, Max, Bach2, Mtf1, Mrg1, Six1_optimised, Arnt, Sox3, Ar, AP1.1"
27781,8,5168386,5168618,233,+,LMX1A,ENSGALG00000003424,8:5141843-5166718,downstream,26542,0.617538,4.71315,2.9702,0.759765,1.68225,1.17677,15.3662,36.5914,40.8769,2.8717,12.74206916,"HIF1, HIF1, Irx5, PR, Tcfap2e, RBP-Jkappa, Tcfap2e, Irf6, Irf6, Irx4, RXRA, Six1_optimised, Irx4, Irx2, Irx2, Irx5, Mrg1, Mrg1, CREB.2"
27782a,8,5169899,5170204,306,+,LMX1A,ENSGALG00000003424,8:5141843-5166718,downstream,28055,0.617538,4.71315,2.9702,0.759765,1.68225,1.17677,15.3662,36.5914,40.8769,2.8717,12.74206916,"Six1_optimised, RUNX1, Mtf1, HIF1, HIF1, Mtf1, Znf143, TFAP2A, Zic3, Ar, Tcfap2e, PLAG1, Max, Hmbox1, REST"
20329a,4,29361689,29362644,956,-,RNF150,ENSGALG00000009865,4:29246318-29359420,upstream,-2269,9.76429,10.8804,9.12929,5.80371,9.85309,12.0518,14.3085,32.67,29.83,7.16102,4.56219924,"Gata3.2, Six1_optimised, PLZF, Sox3, Six1, Pax6.2, Nr2f2, Nr2f2, Sox3, SALL1, Pax7, Sox3, Pou2f1, Pou2f1, DMRT3, Hoxa1, Pax7, TEAD1, PLZF, Six1_optimised, RUNX1, Sox2, Foxk1, Gata5, Sox2, RoRalpha, Six4, AR, RXRA, Lhx5"
21150,4,52738826,52739477,652,-,SPATA5,ENSGALG00000011833,4:52775237-52982663,downstream,243837,9.26946,7.79065,9.07804,8.40174,8.31135,12.8373,28.8738,30.588,30.6093,13.8811,2.203571763,"Tcf1, Pou2f1, Pou2f1, Tcf1, Pax6.2, Six1, Hbp1, Bbx, AhR, Hbp1, Pax7, RoRalpha, Pax7, AP1.2, Gata3.2, Hdx, Prrx1, Gata5, TEAD1, AP1.1, Esrrb, Six1_optimised, CHX10_vsx2_, Pax2, Bbx, Prrx1, Hlxb9, Hlxb9, PPARG, PPARG, Mafb, Pax6.2, Dlx5, Lhx4, Hoxa1, AR, SALL1, Six4, Hoxa1, Bach2, Nr2f2, Nr2f2, Gbx1, Pou2f1, Pou2f1"
21152,4,52763708,52763913,206,-,SPATA5,ENSGALG00000011833,4:52775237-52982663,downstream,218955,9.26946,7.79065,9.07804,8.40174,8.31135,12.8373,28.8738,30.588,30.6093,13.8811,2.203571763,"Six1_optimised, Hoxa1, Hoxa2, CHX10_vsx2_, Lhx5, Lmx1a, Lmx1b"
21153a,4,52766973,52768968,1996,-,SPATA5,ENSGALG00000011833,4:52775237-52982663,downstream,215690,9.26946,7.79065,9.07804,8.40174,8.31135,12.8373,28.8738,30.588,30.6093,13.8811,2.203571763,"Sox8, Hbp1, Hbp1, FOXP1, Hbp1, Lmx1a, FOXP1, SALL1, SALL1, SALL1, TEAD1, SALL1, SALL1, FOXP1, Hoxc9, Sox5, FOXP1, FOXP1, Lmx1b, Lhx9, Hbp1, Sox8, Sox8, Sox13, Sox13, Alx4, Arnt, Foxk1, FOXP1, Sox6, Sox8, Sox13, Sox30, Sox5, Sox5, Hoxa2, Sox2, Lhx5, Sox5, PLZF, Sox13, Gata3.2, Sox8, AhR, Lmx1b, Arnt, Ehf, CHX10_vsx2_, CHX10_vsx2_, Gata5, Dlx5, Hoxa1, Six1_optimised, PLZF, PR, Max, Sox13, Tcf1, Erg, HIF1, HIF1, Hmx3, Ets, CHX10_vsx2_, WT1, Hmx1, Gata3.2, Dlx5, Pax7, Ar, Sox5, Foxk1, Hoxa1, RBP-Jkappa, Pitx1, Irx4, Lmx1a, Pax6.1, Bach2, Lmx1a, Emx2, Rfx3, Hoxa2, Max, Lhx5, Etv5, SALL1, Osf2, Gbx2, Sox30, Lhx4, Lhx4, FOXO3, Six1_optimised, Six1_optimised, Arnt, EBF1, RREB1, Nkx2-5, Nkx2-5, Lmx1a, Hmx3, Gata3.2, Pax2, Irx2, Prrx1, Sox30, Pax7, Foxk1, Lmx1a, Max, Esrrb, Foxk1, RoRalpha, Lhx5, Hlxb9, Pbx, Pou2f1, Pou2f1, Mtf1, Sox3, DMRT3, Six4, SALL1"
17991a,3,67786432,67787428,997,-,BLIMP-1,ENSGALG00000015388,3:67757130-67863760,inside,77328,9.15549,38.3899,38.9351,6.19078,46.5918,36.6759,31.1039,29.793,37.0111,9.83702,3.028661119,"Sox3, AR, RREB1, Six4, Hmx1, Six1, Pitx1, PR, Foxk1, STAT, Sox5, Hmx3, Pitx1, WT1, Sox30, Sox6, RUNX1, Sox13, Pitx1, Gata3.2, Ikaros, RREB1"
17994a,3,67820057,67821986,1930,-,BLIMP-1,ENSGALG00000015388,3:67757130-67863760,inside,43703,9.15549,38.3899,38.9351,6.19078,46.5918,36.6759,31.1039,29.793,37.0111,9.83702,3.028661119,"Hmbox1, Tcfap2e, Sox6, Nkx2-5, Tcfap2e, Pitx1, Hmx3, Ikaros, Pitx2, Bbx, AP1.2, RBP-Jkappa, Gata5, Tcfap2c, Tcfap2c, Irf6, Irf6, DMRT3, Tcfap2c, Tcfap2c, TFAP2A, Hmx1, Mybl1, Gata3.2, Tcf1, Dmbx1, Dmbx1, Gata3.2, TEAD1, Pou2f1, Pou2f1, AP1.1, Otx2, Otx2, Tcfap2c, Tcfap2c, Mrg1, ESR2, Sox30, FOXO3, FOXO3, TEAD1, Bbx, Hoxc9, Lmx1b, Tcfap2b, Tcfap2b, Hdx, Six1, Six1, PLZF, Rfx3, Tcfap2e, Gata3.2, Pitx1, EBF1, Hdx"
26859a,7,18586444,18587493,1050,+,STK39,ENSGALG00000010930,7:18583601-18668725,inside,2842,12.4906,14.288,13.7827,14.8872,15.9857,18.0615,22.7536,29.7743,29.8621,10.5084,2.833380914,"Max, Irf6, Irf6, SALL1, Max, Arnt, Ehf, Ikaros, Foxk1, Six1, Arnt, Six1_optimised, Otx2, Otx2, Hdx, Six1_optimised, Irx4, Dmbx1, Dmbx1, Sox13, Hdx, Six1, Sox5, STAT, Pitx2, Gata3.2, EBF, Etv6"
1782,1,50894130,50894384,255,-,PICK1,ENSGALG00000019313,1:50874809-50886657,upstream,-7473,14.3626,14.0185,14.2409,10.9069,14.9543,14.75,18.2596,25.646,25.1962,12.795,2.00437671,"STAT1, Sox2, Sox3, Six1_optimised, Sox13"
4254a,1,136353198,136354218,1021,+,RASA3,ENSGALG00000016817,1:136345768-136476626,inside,7429,8.00857,5.34596,5.62943,3.09749,8.10794,10.2896,12.9665,20.8766,21.9621,9.03189,2.311432048,"RREB1, RREB1, RREB1, Pax6.1, Zic3, RREB1, Zic3, Etv6, Erg, Six1_optimised, AhR, HIF1, HIF1, AhR, Ehf, Gata5, RREB1"
12934,2,97159024,97159279,256,-,CIDEA,ENSGALG00000027737,2:97144111-97156128,upstream,-2896,1.56537,2.54981,2.23249,4.59168,6.09889,10.0782,10.1441,20.1156,9.39588,1.64285,12.2443315,"FOXO3, Six1_optimised, Sox6, Sox3, Nr2f2, Nr2f2"
5979,10,6256663,6257267,605,+,MYO1E,ENSGALG00000004150,10:6234432-6311306,inside,22230,5.18204,13.1529,15.4949,22.7526,19.7342,26.4382,23.9506,18.9334,17.2483,8.87766,2.132701635,"Foxk1, RREB1, GLI, GLI, Tcfap2c, Tcfap2c, RREB1, FOXO3, Tcfap2e, Erg, Etv1, Hdx, Ets, Tcfap2b, Tcfap2b, Nr2f2, Nr2f2, EBF, Tcfap2e, AR, Six1_optimised, Etv4, EBF1, Etv5, Tcfap2b, Tcfap2b"
22667,5,3600482,3601417,936,-,CCDC34,ENSGALG00000012194,5:3627317-3645623,downstream,45141,5.91958,6.80689,7.08705,5.67145,6.9473,5.68698,15.3422,18.2036,13.4978,8.54303,2.130813072,"Six1, Ikaros, Sox13, Six1_optimised, NR3C1, ESR2, Foxk1, Sox5, Sox8, SALL1, NR3C1, Nkx2-5, Pbx, RoRalpha, Sox3, DMRT3, Irx4, Foxk1, SALL1, TEAD1, Pbx, Sox30, Irx4, DMRT3, Irx5"
22671a,5,3677451,3679033,1583,-,CCDC34,ENSGALG00000012194,5:3627317-3645623,upstream,-31828,5.91958,6.80689,7.08705,5.67145,6.9473,5.68698,15.3422,18.2036,13.4978,8.54303,2.130813072,"FOXP1, FOXP1, Mybl1, Hoxa2, Sox6, FOXP1, FOXP1, STAT1, Pax6.2, Hoxa1, Arnt, Pax2, RUNX1, Six1_optimised, Hmbox1, Ar, STAT1, Arnt, AR, AP1.2, Max, Osf2, Lhx4, RREB1, Six1_optimised, Gata5, Hmx3, Sox6, CHX10_vsx2_, Sox2, Six4, PR, Lhx4, Tcfcp2l1, Irx2, Nkx2-5, AhR, Arnt, Max, Pax-2, Irx2, Prrx1, Pax7, Sox30, Etv6, Hoxc9, Tcf1, Etv6, Foxk1, Erg"
